NAME,res_share,com_share,ind_share,mixed_share,GEOID,Hskill19,Lskill19,Hskill10,Lskill10,parcels,puma,Hcommute,Lcommute,cbd,parks,park_area,park_share,water,Cstock19,Cstruct19,Crent19,Xstock19,Xstruct19,Xrent19,Cstock10,Cstruct10,Crent10,Csigma10,CsigmaR10,Xstock10,Xstruct10,Xrent10,Xsigma10,XsigmaR10,avgBO,mortgage10,Mortgagesigma10,mortgage19,Mortgagesigma19,main_zip,zip_share,win2,win3,win4,win5,win6,CrateH10,CrateL10,CrateH10_C,CrateL10_C,XrateH10,XrateL10,OrateH10,OrateL10,CrateH19,CrateL19,CrateH19_C,CrateL19_C,XrateH19,XrateL19,OrateH19,OrateL19,lat,lon,CshareH10,CshareL10,CshareH10_C,CshareL10_C,XshareH10,XshareL10,OshareH10,OshareL10,CshareH19,CshareL19,CshareH19_C,CshareL19_C,XshareH19,XshareL19,OshareH19,OshareL19,geometry
"Census Tract 101, San Francisco County, California",0.0881383032880799,0.36743410578261904,0.09485006208097525,0.03888787983214064,06075010100,1674,1487,1605,1284,1852,07502,1791.3808503537607,3083.7302823944688,1559.2175391873598,12,55337.227,0.03887659,403.03946169144746,1031,62,2061.2056742212417,809,117,2162.2261170883066,1255,119,1362.5361459195344,163.9730296656322,9013.048798234775,674,88,1466.7082484263954,142.3410031870484,10206.955833900263,62687.5,2822.596153846154,13318.046876180975,3413.068181818182,9675.612207550957,94133,0.47742670534531634,0.028588425469779424,0.01994471876116204,0.020960196820038277,0.03410190752466545,0.05025544266792804,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.410926327016,37.8077213871709,7.572459711054438e-5,5.316175391059766e-5,7.211866391480417e-5,2.416443359572621e-5,8.654239669776502e-5,2.899732031487145e-5,9.736019628498564e-4,6.379410469271718e-4,6.762340532610665e-5,4.2715437297278514e-5,4.362800343619785e-5,4.2715437297278514e-5,8.28932065287759e-5,1.2280688222967575e-4,7.613086599616525e-4,6.247132704726983e-4,"list(list(c(-122.420612315115, -122.407452, -122.399638840473, -122.401787, -122.403495, -122.405174, -122.406625, -122.408332, -122.411581, -122.414877, -122.416888, -122.418718, -122.419224, -122.420612315115, 37.8111121700604, 37.811441, 37.8065658502084, 37.805314, 37.805089, 37.804763, 37.804535, 37.804367, 37.803963, 37.803542, 37.805212, 37.805932, 37.808453, 37.8111121700604)))"
"Census Tract 102, San Francisco County, California",0.39760184698625084,0.09692021259069646,0,0.04269354393501212,06075010200,3138,519,2927,827,1102,07502,1788.9192916253917,3110.477579806798,2035.2862734030202,9,84494.719,0.1041912,632.591061979832,1353,162,2015.1559910881047,195,68,2397.0058298944377,1731,144,1391.7109941959163,147.52922104796338,9033.613913774569,84,18,1457.906713900135,36.58194415908685,3326.06079700142,19100.296666666665,3461.558854718982,11204.642273788266,3544.1176470588234,16942.15938733556,94109,0.2715930118961234,0.009757832762734972,0.016309763116477385,0.006624219802344473,0.0193995008497231,0.04288310714149317,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.422127733741,37.8053725718553,1.380971313037778e-4,3.424047545487871e-5,1.3152107743216935e-4,1.5563852479490322e-5,1.5782529291860325e-4,1.867662297538839e-5,0.0017755345453342865,4.108857054585445e-4,1.267635877618415e-4,1.490875047564731e-5,8.178295984634936e-5,1.490875047564731e-5,1.553876237080638e-4,4.286265761748602e-5,0.0014271126493187966,2.180404757063419e-4,"list(list(c(-122.426671, -122.424876, -122.425041162157, -122.420612315115, -122.419224, -122.418718, -122.418281, -122.417799, -122.417587, -122.420769, -122.420883, -122.424275, -122.424464, -122.424835, -122.425209, -122.425628, -122.426613, -122.426671, 37.809639, 37.810799, 37.811001508766, 37.8111121700604, 37.808453, 37.805932, 37.804023, 37.801267, 37.800341, 37.799939, 37.799902, 37.799472, 37.800402, 37.802268, 37.804133, 37.806456, 37.808152, 37.809639)))"
"Census Tract 103, San Francisco County, California",0.8583231783745855,0.03878105491069615,0,0.06427877975074348,06075010300,2793,1044,1977,1358,1655,07502,1571.7534375550765,2748.4310112905146,1333.0013595329856,4,7290.5878,0.02717696,1064.4999836463026,1377,306,2001.7406193647662,121,47,2185.9242116341657,1259,244,1403.2097815770885,84.51485749539292,7163.754141754471,210,121,1462.7290044933136,32.31120365379901,5129.541970077243,37785.07923076923,3320.29702970297,15108.092382744571,3548.3383685800604,13941.003769554007,94133,0.11735578093036486,0.007027292271279333,0.0049025913704591065,0.005152205016455043,0.008382555780740347,0.012353240097933144,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.4156748685,37.8016405401979,9.327571868382944e-5,5.622559331042961e-5,8.883401779412327e-5,2.5557087868377094e-5,1.0660082135294792e-4,3.0668505442052516e-5,0.0011992592402206644,6.747071197251554e-4,1.1282686444194498e-4,2.9989856448122915e-5,7.279152544641612e-5,2.9989856448122915e-5,1.3830389834819062e-4,8.622083728835338e-5,0.0012702121190399612,4.386016505537976e-4,"list(list(c(-122.418718, -122.416888, -122.414877, -122.412908, -122.412849, -122.412471, -122.412283, -122.417218, -122.417385, -122.417587, -122.417799, -122.418281, -122.418718, 37.805932, 37.805212, 37.803542, 37.802184, 37.801893, 37.800032, 37.799096, 37.798472, 37.799414, 37.800341, 37.801267, 37.804023, 37.805932)))"
"Census Tract 104, San Francisco County, California",0.7201653778802445,0.07558854360991465,0,0.07180036062353913,06075010400,2900,1013,2645,1158,1266,07502,1553.9942025143964,2691.1484540458623,885.5042617449933,7,38295.369,0.11406199,805.7116712984624,1298,239,2008.5399666247124,198,29,2244.864577054451,1356,265,1390.6375071308473,93.51889752563166,8050.986755506694,233,108,1427.0298631319993,59.86945924354861,5276.115260763288,49910.18833333333,3153.4375,22451.543307198284,3608.695652173913,11878.003052775292,94133,0.14602779161581209,0.008744179138671383,0.0061003777176318365,0.006410976217279555,0.010430556543986577,0.015371346485874956,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.407555510812,37.8022712558419,1.2479224882080365e-4,4.794494628385677e-5,1.1884976078171779e-4,2.1793157401753076e-5,1.4261971293806137e-4,2.6151788882103692e-5,0.00160447177055319,5.753393554062812e-4,1.171492684860868e-4,2.9099353047843402e-5,7.55801732168302e-5,2.9099353047843402e-5,1.4360232911197736e-4,8.366064001254979e-5,0.001318874022633687,4.2557803832470975e-4,"list(list(c(-122.414877, -122.411581, -122.408332, -122.406625, -122.405174, -122.404798, -122.40316, -122.40279, -122.402421, -122.405645, -122.406024, -122.406199, -122.40777, -122.411019, -122.411376, -122.412908, -122.414877, 37.803542, 37.803963, 37.804367, 37.804535, 37.804763, 37.802901, 37.803098, 37.801242, 37.799382, 37.798969, 37.800835, 37.80172, 37.801571, 37.80117, 37.801125, 37.802184, 37.803542)))"
"Census Tract 108, San Francisco County, California",0.8643035583823147,0,0,0.10175837079380476,06075010800,2540,1809,2295,1759,1002,07502,1398.629159966839,2461.658852619537,1013.5158534217093,2,3351.5868,0.01482502,1639.006976879775,1571,224,2013.1365326907337,292,173,2172.57573826077,1443,171,1396.6683585685792,102.99884559851884,8015.036046893076,299,172,1437.4045062488997,68.69293471030944,5088.064670086233,27699.7,3225.894245723173,16594.467777205424,3157.883817427386,18092.022295666342,94133,0.09835413773819131,0.005889469325640198,0.0041087890438931095,0.0043179865348474235,0.00702529555272795,0.010353067130335927,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.414290798328,37.7964964381213,1.0827909680292795e-4,7.282829059870817e-5,1.0312294933612186e-4,3.3103768453958254e-5,1.2374753920334626e-4,3.972452214474991e-5,0.0013921598160376452,8.739394871844979e-4,1.0260660067402086e-4,5.1965182293730215e-5,6.619780688646506e-5,5.1965182293730215e-5,1.2577583308428364e-4,1.4939989909447437e-4,0.0011551517301688155,7.599907910458045e-4,"list(list(c(-122.417218, -122.412283, -122.411911, -122.411719, -122.411364, -122.415218, -122.416292, -122.416473, -122.416653, -122.416839, -122.417218, 37.798472, 37.799096, 37.797245, 37.796291, 37.794527, 37.794029, 37.793892, 37.794777, 37.79567, 37.796596, 37.798472)))"
"Census Tract 112, San Francisco County, California",0.9101812096299379,0,0,0.029220700653303393,06075011200,2162,741,1596,1243,550,07502,1305.3284134536334,2298.670626446929,900.5798097167984,2,6975.8923,0.03931971,1853.6410239799702,1227,131,2014.6337524243393,79,30,2189.4403870657998,1243,125,1396.4482741737202,127.79447642234202,7443.901132697325,25,5,1461.8038277511962,9.592861330476278,1818.4224355035515,20750,3463.3297644539616,9264.186268435782,3561.5079365079364,9389.974812752534,94108,0.4130295981320513,0,0.004313625045765549,0.004029557054946842,0,0,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.412731189383,37.7929702341729,7.52999732015133e-5,5.146422127015023e-5,7.171426019191742e-5,2.3392827850068284e-5,8.605711223030092e-5,2.8071393420081946e-5,9.681425125908853e-4,6.175706552418027e-4,8.73367994713516e-5,2.1285903858294136e-5,5.6346322239581676e-5,2.1285903858294136e-5,1.070580122552052e-4,6.119697359259564e-5,9.832433230807004e-4,3.1130634392755177e-4,"list(list(c(-122.416292, -122.415218, -122.411364, -122.409722, -122.409541, -122.409171, -122.412461, -122.41575, -122.415936, -122.416113, -122.416292, 37.793892, 37.794029, 37.794527, 37.794737, 37.793852, 37.792043, 37.791627, 37.791206, 37.792133, 37.793014, 37.793892)))"
"Census Tract 118, San Francisco County, California",0.04731513188178117,0.6365348806384039,0,0.2644163674091863,06075011800,422,937,154,1212,1781,07502,1280.801220716384,2241.123072760582,353.2303778417979,1,2466.1814,0.04359955,1352.0548010130772,671,56,2011.4711139498024,71,12,2314.1759799302145,660,47,1391.616360006114,89.04277731082598,5516.839161801355,8,8,1415.0384615384614,0,448.9093720288397,25362.204164193405,3250,0,NA,NA,94108,0.13176698037338058,0,0.001376156452985698,0.0012855315158378593,0,0,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.406163034595,37.7933497709441,7.265786887865317e-6,5.018072098103144e-5,6.919797036062208e-6,2.2809418627741563e-5,8.30375644327465e-6,2.7371302353289875e-5,9.34172599868398e-5,6.021686517723773e-4,1.7047238379699526e-5,2.6916183421351696e-5,1.0998218309483565e-5,2.6916183421351696e-5,2.0896614788018777e-5,7.738402733638613e-5,1.9191890950048826e-4,3.9364918253726854e-4,"list(list(c(-122.407903, -122.404796, -122.404613, -122.404418, -122.407536, -122.407903, 37.79406, 37.794453, 37.793565, 37.792639, 37.792249, 37.79406)))"
"Census Tract 121, San Francisco County, California",0,0.42610743733179246,0,0.5738930100144094,06075012100,1906,941,1292,1123,1300,07503,1245.6332078689913,2181.273437768092,1063.1639726000847,0,0,0,2052.8328544361566,1972,78,2003.275630324337,66,8,2435.204673315433,1926,71,1403.0528838826965,133.9539686348088,8861.62860555693,44,19,1461.8038277511962,23.125433749538974,2465.28296103499,25362.204164193405,3424.5283018867926,6424.268550978729,2352.777777777778,8328.373524017492,94109,0.045487369398988384,0.0016342767448738339,0.0027316174834901637,0.001109448034121668,0.003249097814213456,0.007182216220892902,0.07575757575757576,0.024291497975708502,0.03939393939393939,0.012145748987854251,0.2696969696969697,0.1700404858299595,0.6151515151515151,0.7935222672064778,0.03777777777777778,0.0380952380952381,0.02666666666666667,0.023809523809523808,0.20222222222222222,0.24285714285714285,0.7333333333333333,0.6952380952380952,-122.411888041662,37.7888064608714,7.366751655717347e-5,1.5812348083211933e-5,3.83071086097302e-5,7.906174041605966e-6,2.622563589435376e-4,1.1068643658248355e-4,5.981802344442485e-4,5.1653670405159e-4,4.1097301240858955e-5,2.0080236120957175e-5,2.900985969942985e-5,1.2550147575598235e-5,2.1999143605400966e-4,1.28011505271102e-4,7.977711417343207e-4,3.6646430920746843e-4,"list(list(c(-122.415372, -122.412076, -122.408786, -122.408402, -122.411699, -122.413354, -122.414995, -122.415185, -122.415372, 37.78932, 37.78974, 37.79016, 37.788293, 37.787872, 37.787664, 37.787454, 37.788388, 37.78932)))"
"Census Tract 125.02, San Francisco County, California",0,0,0,0.9103823923381622,06075012502,452,2797,473,2200,750,07503,1234.8861990807509,2130.768930619482,1514.2701157992817,1,3920.8247,0.0639864,2409.2823824814373,1889,51,2000.7461580044958,351,66,2349.0124733045877,1865,61,1398.2081581581883,145.06789337326518,9010.398107570136,315,18,1479.1308998054299,94.47034747328993,7334.27961093179,25362.204164193405,1663.0434782608695,7309.3150812180575,NA,NA,94102,0.03944659421201381,0,8.239497485538133e-4,9.621120539515563e-4,0,0.004152273074948822,0.07575757575757576,0.024291497975708502,0.03939393939393939,0.012145748987854251,0.2696969696969697,0.1700404858299595,0.6151515151515151,0.7935222672064778,0.03777777777777778,0.0380952380952381,0.02666666666666667,0.023809523809523808,0.20222222222222222,0.24285714285714285,0.7333333333333333,0.6952380952380952,-122.412597666119,37.7839348798593,2.6969609389739207e-5,3.097699535446684e-5,1.4024196882664387e-5,1.548849767723342e-5,9.601180942747158e-5,2.1683896748126786e-4,2.1899322824468233e-4,0.00101191518157925,9.746054648934022e-6,5.968588781117664e-5,6.8795679874828395e-6,3.73036798819854e-5,5.2170057238411524e-5,3.804975347962511e-4,1.8918811965577806e-4,0.0010892674525539738,"list(list(c(-122.41443, -122.412782, -122.41114, -122.410952, -122.410765, -122.414054, -122.414242, -122.41443, 37.784657, 37.784866, 37.785075, 37.784141, 37.783214, 37.782794, 37.783724, 37.784657)))"
"Census Tract 128, San Francisco County, California",0.7382237422340057,0,0,0.25900972389920524,06075012800,3029,780,2648,719,1024,07502,1969.196745077384,3410.929191243887,3433.9504073256257,1,604.95178,0.00121516,1143.7580131001898,1311,228,2014.225967231345,175,66,2083.100356497029,1372,221,1381.7983178695597,95.81332001026566,8480.106949028186,24,5,1461.8038277511962,9.530350791387301,1777.9190165264197,28416.666666666668,3265.75,17832.025088306713,3393.258426966292,19025.725487798845,94123,0.16415811936209404,0.018676672262753213,0.013715560886650154,0.008007713139614344,0.01172557995443529,0.00863990101905758,0.0626865671641791,0.07142857142857142,0.05970149253731343,0.032467532467532464,0.07164179104477612,0.03896103896103896,0.8059701492537313,0.8571428571428571,0.07077625570776255,0.05128205128205128,0.045662100456621,0.05128205128205128,0.0867579908675799,0.14743589743589744,0.7968036529680366,0.75,-122.441750354098,37.797807811533,1.24933790123814e-4,2.9768926060529374e-5,1.1898456202268003e-4,1.3531330027513352e-5,1.4278147442721605e-4,1.6237596033016024e-5,0.0016062915873061804,3.572271127263525e-4,1.2236039111874377e-4,2.240621458767804e-5,7.894218781854437e-5,2.240621458767804e-5,1.4999015685523428e-4,6.441786693957436e-5,0.0013775411774335994,3.2769088834479134e-4,"list(list(c(-122.447466, -122.441177, -122.436274, -122.435678, -122.437326, -122.43695, -122.438591, -122.440234, -122.446728, -122.447015, -122.447303, -122.447466, 37.79939, 37.80019, 37.800814, 37.798021, 37.797811, 37.795949, 37.795741, 37.795533, 37.794706, 37.796579, 37.798459, 37.79939)))"
